Metric,Value
type_consistency.applicable_range_checks,0
type_consistency.range_violations_total,0
type_consistency.applicable_consistency_checks,0
type_consistency.total_property_usages_examined,0
type_consistency.status,not_applicable_no_used_constrained_triples
type_consistency.aggregation,evidence-weighted applicable checks
type_consistency.consistency_interpretation,No declared constraints applied to used triples; no score is reported.
type_consistency.property_details,[]
type_consistency.inference_enabled,False
type_consistency.open_world_caveat,Missing explicit class assertions count as non-alignment under this closed profile; they are not RDF/OWL logical inconsistencies. rdfs:Resource and rdfs:Literal are handled according to their RDF semantics.
type_consistency.max_properties_configured,50
--- ENTITY RICHNESS METRICS ---,
entity_richness.avg_properties_per_event,3.68
entity_richness.median_properties_per_event,4.0
entity_richness.std_dev_properties,1.23
entity_richness.sparse_entities_percentage,12.83
entity_richness.total_events_analyzed,374
entity_richness.status,computed
entity_richness.counting_unit,distinct outgoing predicates excluding rdf:type
entity_richness.sparse_threshold,fewer than 3 distinct outgoing predicates
--- MAPPING COVERAGE METRICS ---,
mapping_coverage.total_events,374
mapping_coverage.events_with_external_links,0
mapping_coverage.events_linked_to_wikidata,0
mapping_coverage.events_linked_to_dbpedia,0
mapping_coverage.external_link_rate,0.0
mapping_coverage.wikidata_coverage,0.0
mapping_coverage.dbpedia_coverage,0.0
mapping_coverage.status,computed
--- PREDICATE USAGE METRICS ---,
predicate_usage.total_unique_predicates,6
predicate_usage.total_triples,3165
predicate_usage.top_10_concentration,100.0
predicate_usage.singleton_predicates,0
predicate_usage.gini_coefficient,0.4071
predicate_usage.shannon_entropy,2.1566
predicate_usage.normalized_shannon_entropy,0.8343
predicate_usage.hhi_concentration,0.2699
predicate_usage.status,computed
